appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
577800,NBA 2K18,2017-09-14,1,Visual Concepts,2K,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Simulation;Sports,Sports;Basketball;Gambling,50,4832,12067,3499,4773,1000000-2000000,39.99,0,1500000.0,28.593407893958222,1
577940,Killer Instinct,2017-09-27,1,Iron Galaxy,Microsoft Studios,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud,Action,Fighting;Action;Multiplayer,464,1301,175,203,270,50000-100000,29.99,0,75000.0,88.14363143631437,1
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-12-21,1,PUBG Corporation,PUBG Corporation,windows,0,Multi-player;Online Multi-Player;Stats,Action;Adventure;Massively Multiplayer,Survival;Shooter;Multiplayer,37,496184,487076,22938,12434,50000000-100000000,26.99,0,75000000.0,50.46315318430526,1
578330,LEGO® City Undercover,2017-04-04,1,Traveller's Tales,TT Games,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Action,LEGO;Open World;Action,48,779,327,1868,1868,100000-200000,24.99,0,150000.0,70.43399638336348,0
579020,Constructor,2017-05-26,1,System 3,System 3,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Simulation;Strategy,Strategy;Simulation;City Builder,34,334,146,0,0,20000-50000,24.99,0,35000.0,69.58333333333333,0
579180,Ys VIII: Lacrimosa of DANA / イースVIII-Lacrimosa of DANA-,2018-04-16,1,Nihon Falcom,"NIS America, Inc.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;RPG,RPG;JRPG;Anime,54,748,415,2078,2078,20000-50000,44.99,0,35000.0,64.31642304385211,0
581300,Black Mirror,2017-11-28,1,KING Art,THQ Nordic,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Violent;Adventure,Adventure;Violent;Horror,21,113,130,0,0,0-20000,24.99,0,10000.0,46.50205761316872,0
581320,Insurgency: Sandstorm,2018-12-12,1,New World Interactive,Focus Home Interactive,windows,0,Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,Action,FPS;Realistic;Shooter,37,12858,3933,1425,2092,500000-1000000,25.99,0,750000.0,76.57673753796676,1
582010,MONSTER HUNTER: WORLD,2018-08-09,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action,Action;Hunting;Multiplayer,50,72029,35294,6512,5372,5000000-10000000,49.99,0,7500000.0,67.11422528255827,1
582160,Assassin's Creed® Origins,2017-10-26,1,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,Action;Adventure;RPG,Open World;Assassin;Action,67,31644,6007,2908,3143,1000000-2000000,49.99,0,1500000.0,84.04557647871238,0
582560,The Invisible Hours,2017-10-10,1,Tequila Works,Game Trust ,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Casual,Adventure;Casual;VR,36,203,13,0,0,0-20000,29.99,0,10000.0,93.98148148148148,0
