appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
646050,Past Cure,2018-02-23,1,Phantom 8 Studio,Phantom 8 Studio,windows,16,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Indie,Action;Indie;Horror,13,20,32,0,0,0-20000,24.99,0,10000.0,38.46153846153847,0
646910,The Crew™ 2,2018-06-28,1,Ivory Tower,Ubisoft,windows,0,Single-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases;Partial Controller Support,Action;Massively Multiplayer;Racing,Racing;Open World;Driving,34,4030,3916,2029,1685,200000-500000,49.99,0,350000.0,50.717342058897565,0
647590,Space Junkies™,2019-03-26,1,Ubisoft Montpellier,Ubisoft®,windows,0,Multi-player;Online Multi-Player,Action;Sports,Action;Sports;VR,0,63,19,0,0,0-20000,33.99,0,10000.0,76.82926829268293,1
647830,LEGO® Marvel Super Heroes 2,2017-11-14,1,TT Games;Feral Interactive (Mac),Warner Bros. Interactive;Feral Interactive (Mac),windows;mac,0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action,LEGO;Action;Superhero,75,870,268,114,114,50000-100000,24.99,0,75000.0,76.44991212653778,0
648350,Jurassic World Evolution,2018-06-11,1,Frontier Developments,Frontier Developments,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Simulation;Strategy,Building;Dinosaurs;Management,62,9824,4060,1201,1509,500000-1000000,34.99,0,750000.0,70.7577067127629,0
648580,428: Shibuya Scramble,2018-09-04,1,"Spike Chunsoft Co., Ltd.;Abstraction Games","Spike Chunsoft Co., Ltd.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Adventure;Visual Novel;Mystery,27,82,2,0,0,0-20000,39.99,0,10000.0,97.61904761904762,0
650510,ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ,2018-09-04,1,"Konami Digital Entertainment;Cygames, Inc.",Konami Digital Entertainment,windows,0,Single-player;Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud,Action,Action;Mechs;Violent,25,197,83,0,0,0-20000,24.99,0,10000.0,70.35714285714286,0
658260,BLUE REFLECTION / BLUE REFLECTION　幻に舞う少女の剣,2017-09-26,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support,RPG,RPG;Anime;Female Protagonist,47,356,84,0,0,0-20000,49.99,0,10000.0,80.9090909090909,0
658700,V-Rally 4,2018-09-25,1,KT Racing,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Racing,Racing;Offroad;Simulation,49,100,52,0,0,0-20000,39.99,0,10000.0,65.78947368421053,1
664430,WWE 2K18,2017-10-17,1,"Visual Concepts;Yuke's Co., LTD",2K,windows,0,Single-player;Multi-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Simulation;Sports,Sports;Simulation;Fighting,52,952,970,0,0,500000-1000000,39.99,0,750000.0,49.53173777315297,1
666140,My Time At Portia,2019-01-15,1,Pathea Games,Team17 Digital Ltd,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG;Simulation,Open World;Crafting;RPG,91,10695,1108,2094,2114,500000-1000000,24.99,0,750000.0,90.61255612979751,0
678950,DRAGON BALL FighterZ,2018-01-26,1,Arc System Works,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Fighting;Anime;Action,35,10441,2264,3020,1311,200000-500000,44.99,0,350000.0,82.18024399842582,1
682570,SG/ZH: School Girl/Zombie Hunter,2018-06-05,1,Tamsoft,D3 PUBLISHER,windows,16,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support,Nudity;Violent;Gore;Action,Action;Violent;Nudity,41,159,66,0,0,0-20000,30.99,0,10000.0,70.66666666666667,0
688480,EVE: Valkyrie – Warzone,2017-09-26,1,CCP,CCP,windows,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Action,Space;VR;Sci-fi,33,184,120,349,349,20000-50000,24.99,0,35000.0,60.526315789473685,0
690790,DiRT Rally 2.0,2019-02-25,1,Codemasters,Codemasters,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud,Racing;Simulation;Sports,Racing;Simulation;Sports,54,1017,670,104,104,50000-100000,44.99,0,75000.0,60.28452874925904,1
690830,Foundation,2019-02-01,1,Polymorph Games,Polymorph Games,windows,0,Single-player;Steam Achievements;Steam Cloud,Indie;Simulation;Strategy;Early Access,Early Access;City Builder;Strategy,0,1228,386,219,328,50000-100000,26.99,0,75000.0,76.08426270136307,0
692030,Tennis World Tour,2018-06-12,1,Breakpoint,Bigben Interactive,windows,0,Single-player;Multi-player;Local Multi-Player;Steam Achievements;Full controller support,Sports,Sports;Tennis;Simulation,29,94,238,3736,3736,0-20000,39.99,0,10000.0,28.313253012048197,1
692840,Underworld Ascendant,2018-11-15,1,OtherSide Entertainment,505 Games,windows,0,Single-player;Full controller support,Action;Adventure;Indie;RPG,Action;RPG;Indie,45,204,453,0,0,0-20000,24.99,0,10000.0,31.05022831050228,0
695290,The Golf Club™ 2019 featuring PGA TOUR,2018-08-28,1,HB Studios Multimedia Ltd.,2K,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Stats;Steam Turn Notifications;Includes level editor,Indie;Simulation;Sports;Strategy,Sports;Simulation;Strategy,29,217,130,0,0,0-20000,44.99,0,10000.0,62.53602305475504,1
696170,SENRAN KAGURA Peach Beach Splash,2018-03-07,1,Tamsoft,"XSEED Games;Marvelous USA, Inc.;Marvelous",windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action,Sexual Content;Nudity;Anime,50,1783,647,0,0,50000-100000,24.99,1,75000.0,73.37448559670781,0
697650,The 25th Ward: The Silver Case / シルバー事件２５区,2018-03-13,1,GRASSHOPPER MANUFACTURE INC.;Active Gaming Media Inc.,"NIS America, Inc.",windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure,Adventure;Visual Novel,25,47,3,0,0,0-20000,29.99,0,10000.0,94.0,0
699740,BANNERMEN,2019-02-21,1,Pathos Interactive,2tainment GmbH,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,Strategy,Strategy;Gore;Violent,27,87,48,0,0,0-20000,24.9,0,10000.0,64.44444444444444,1
702700,Super Bomberman R,2018-06-12,1,Konami Digital Entertainment,Konami Digital Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Partial Controller Support,Action,Action;Multiplayer;Singleplayer,32,80,84,0,0,0-20000,34.99,0,10000.0,48.78048780487805,1
702890,BlazBlue: Cross Tag Battle,2018-06-05,1,Arc System Works,Arc System Works,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,2D Fighter;Anime;Action,42,1216,439,2721,3552,50000-100000,32.99,0,75000.0,73.47432024169184,1
704030,Cattle and Crops,2018-02-13,1,Masterbrain Bytes GmbH & Co. KG,Masterbrain Bytes GmbH & Co. KG,windows;linux,0,Single-player;Full controller support;Includes level editor,Casual;Indie;Simulation;Early Access,Early Access;Simulation;Agriculture,0,392,126,0,0,0-20000,29.99,0,10000.0,75.67567567567568,0
704230,Pro Cycling Manager 2018,2018-06-28,1,Cyanide Studio,Focus Home Interactive,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Simulation;Sports,Sports;Simulation;Management,64,86,76,211,211,20000-50000,34.99,0,35000.0,53.086419753086425,0
704270,Generation Zero,2019-03-26,1,Avalanche Publishing,Avalanche Publishing,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure,Open World;Survival;Adventure,50,1377,1673,187,234,50000-100000,29.99,0,75000.0,45.14754098360656,0
706020,Fade to Silence,2017-12-14,1,Black Forest Games,THQ Nordic,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,RPG;Early Access,Early Access;Survival;RPG,45,292,133,0,0,0-20000,24.99,0,10000.0,68.70588235294117,1
709440,Override: Mech City Brawl,2018-12-03,1,The Balance Inc,Modus Games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie,Action;Indie;Mechs,43,171,70,0,0,0-20000,24.99,0,10000.0,70.95435684647303,1
710470,Little Witch Academia: Chamber of Time,2018-05-15,1,"APLUS Co., Ltd",BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;RPG,Adventure;Anime;RPG,25,403,71,0,0,0-20000,34.99,0,10000.0,85.0210970464135,1
711750,Monster Energy Supercross - The Official Videogame,2018-02-13,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Includes level editor,Racing;Simulation;Sports,Simulation;Sports;Racing,50,289,117,0,0,0-20000,29.99,0,10000.0,71.18226600985221,0
712100,Total War Saga: THRONES OF BRITANNIA,2018-05-02,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Achievements,Action;Strategy,Strategy;Historical;RTS,137,3386,2579,279,399,100000-200000,29.99,0,150000.0,56.76445934618608,1
714080,BLACK CLOVER: QUARTET KNIGHTS,2018-09-13,1,"ILINX, Inc.",BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action,Action;Anime;Fighting,47,92,38,0,0,0-20000,39.99,0,10000.0,70.76923076923077,0
714370,LEFT ALIVE™,2019-03-05,1,Square Enix,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action,Action;Violent;Gore,49,99,394,0,0,0-20000,44.99,0,10000.0,20.08113590263692,0
721010,Newton and the Apple Tree,2018-08-15,1,Laplacian,Sol Press,windows,0,Single-player;Steam Cloud,RPG,Sexual Content;Nudity;Visual Novel,0,63,2,0,0,0-20000,30.99,1,10000.0,96.92307692307692,0
722060,Dominions 5 - Warriors of the Faith,2017-11-27,1,Illwinter Game Design,Illwinter Game Design,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer,Indie;Strategy,Strategy;Indie;Turn-Based Strategy,0,520,36,525,525,20000-50000,30.99,0,35000.0,93.5251798561151,1
722230,L.A. Noire: The VR Case Files,2017-12-15,1,Rockstar Games,Rockstar Games,windows,0,Single-player,Violent;Action;Adventure,Adventure;Action;Violent,20,258,151,180,180,0-20000,24.99,0,10000.0,63.08068459657702,0
726590,NBA 2K Playgrounds 2,2018-10-15,1,Saber Interactive,2K,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Online Co-op;Local Co-op;Steam Achievements;Full controller support;In-App Purchases,Sports,Sports;Basketball;Arcade,13,123,73,0,0,0-20000,24.99,0,10000.0,62.755102040816325,1
729040,Borderlands Game of the Year Enhanced,2019-04-03,1,Gearbox Software;Blind Squirrel Games,2K,windows,18,Single-player;Multi-player;Online Co-op;Steam Achievements;Partial Controller Support;Steam Cloud,Action;RPG,Action;RPG;Gore,80,1648,920,408,278,100000-200000,24.99,0,150000.0,64.17445482866043,1
731490,Crash Bandicoot™ N. Sane Trilogy,2018-06-29,1,Vicarious Visions;Iron Galaxy,Activision,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,3D Platformer;Remake;Classic,74,3555,237,3530,3530,100000-200000,34.99,0,150000.0,93.75,0
736220,Post Scriptum,2018-08-09,1,Periscope Games,Offworld Industries,windows,0,Online Multi-Player;Partial Controller Support,Action;Indie;Massively Multiplayer;Simulation;Strategy,World War II;FPS;Multiplayer,0,2889,1556,607,845,100000-200000,24.5,0,150000.0,64.99437570303712,0
737800,F1 2018,2018-08-23,1,Codemasters,Codemasters,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Steam Leaderboards,Racing;Simulation;Sports,Racing;Simulation;Sports,50,2491,630,3824,3824,100000-200000,44.99,0,150000.0,79.81416212752322,1
738530,New Gundam Breaker,2018-09-24,1,"CRAFTS & MEISTER Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud,Action,Action;Mechs;Anime,41,433,467,21,21,20000-50000,39.99,0,35000.0,48.11111111111111,1
738540,Tales of Vesperia: Definitive Edition,2019-01-10,1,QLOC;BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,RPG,RPG;Anime;JRPG,53,555,66,9848,9848,20000-50000,34.99,0,35000.0,89.3719806763285,0
738550,Spike Volleyball,2019-02-05,1,Black Sheep Studio,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Cloud,Sports,Sports;Simulation;Sandbox,32,29,42,0,0,0-20000,34.99,0,10000.0,40.845070422535215,1
742120,DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light,2018-09-04,1,Square Enix,Square Enix,windows,12,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,JRPG;RPG;Turn-Based Combat,58,3663,281,2622,2622,100000-200000,39.99,0,150000.0,92.87525354969574,0
742300,Mega Man 11 / ロックマン11 運命の歯車!!,2018-10-02,1,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Platformer;Classic,50,1516,114,0,0,50000-100000,24.99,0,75000.0,93.00613496932515,0
746930,OrbusVR: Reborn,2019-04-23,1,"Orbus Online, LLC","Orbus Online, LLC",windows,0,Online Multi-Player;MMO;Steam Achievements,Indie;Massively Multiplayer;RPG,VR;Massively Multiplayer;RPG,22,678,162,0,0,20000-50000,34.99,0,35000.0,80.71428571428572,0
748360,MY HERO ONE'S JUSTICE,2018-10-25,1,Byking Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Anime;Fighting,57,673,137,0,0,20000-50000,49.99,0,35000.0,83.08641975308642,1
748490,The Legend of Heroes: Trails of Cold Steel II,2018-02-14,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,RPG,RPG;JRPG;Anime,51,872,36,0,0,20000-50000,29.99,0,35000.0,96.0352422907489,0
750920,Shadow of the Tomb Raider,2018-09-14,1,Eidos-Montréal;Crystal Dynamics;Nixxes software,Square Enix,windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Adventure;Action;Lara Croft,99,10832,4408,672,733,500000-1000000,44.99,0,750000.0,71.0761154855643,0
751440,VR Kanojo / VRカノジョ,2018-04-08,1,ILLUSION,ILLUSION,windows,0,Single-player;Full controller support,Sexual Content;Nudity;Adventure,Sexual Content;Nudity;VR,0,513,125,0,0,20000-50000,32.99,1,35000.0,80.40752351097179,0
752570,Song of Memories (Complete Scenario),2018-02-27,1,"Future Tech Lab Co.,Ltd.","Future Tech Lab Co.,Ltd.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Adventure;Casual,Sexual Content;Anime;Casual,37,57,31,302,302,0-20000,30.99,1,10000.0,64.77272727272727,0
755500,ONE PIECE World Seeker,2019-03-14,1,"GANBARION Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Adventure;Anime,49,234,171,0,0,0-20000,39.99,0,10000.0,57.77777777777777,0
756590,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,2018-03-27,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support,RPG,RPG;Anime;Female Protagonist,50,355,31,0,0,0-20000,49.99,0,10000.0,91.96891191709845,0
757300,Truberbrook / Trüberbrook,2019-03-12,1,btf,Headup;WhisperGames,windows;mac;linux,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Singleplayer,34,195,72,0,0,0-20000,24.99,0,10000.0,73.03370786516854,0
758330,Shenmue I & II,2018-08-21,1,D3T,SEGA,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Adventure;RPG,Adventure;Open World;Action,55,732,65,105,105,20000-50000,24.99,0,35000.0,91.8444165621079,0
759740,RIDE 3,2018-11-30,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Racing;Simulation;Sports,Racing;Sports;Simulation,80,464,233,0,0,20000-50000,39.99,0,35000.0,66.57101865136298,0
760060,Mutant Year Zero: Road to Eden,2018-12-04,1,The Bearded Ladies,Funcom,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG;Strategy,Strategy;RPG;Turn-Based Combat,36,5034,682,301,398,100000-200000,29.99,0,150000.0,88.06857942617215,0
765870,Leisure Suit Larry - Wet Dreams Don't Dry,2018-11-07,1,CrazyBunch,Assemble Entertainment,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure,Nudity;Sexual Content;Adventure,31,259,31,1048,1048,0-20000,25.99,1,10000.0,89.3103448275862,0
766320,The Mage's Tale,2018-03-23,1,inXile Entertainment,inXile Entertainment,windows,0,Single-player;Steam Achievements,Action;RPG,RPG;Action;Fantasy,41,53,14,0,0,0-20000,30.99,0,10000.0,79.1044776119403,0
767390,Dakar 18,2018-09-25,1,Bigmoon Entertainment,Bigmoon Entertainment;Deep Silver,windows,0,Single-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Adventure;Racing;Simulation;Sports,Racing;Simulation;Sports,54,251,152,0,0,0-20000,39.99,0,10000.0,62.28287841191067,0
767930,Assault Spy / アサルトスパイ,2018-10-02,1,Wazen,"NIS America, Inc.",windows,0,Single-player;Full controller support,Action;Indie,Action;Indie;Character Action Game,28,107,19,0,0,0-20000,24.99,0,10000.0,84.92063492063492,0
770240,PRO EVOLUTION SOCCER 2019,2018-08-29,1,Konami Digital Entertainment,Konami Digital Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;In-App Purchases;Partial Controller Support,Sports,Sports;Soccer;Multiplayer,0,1619,2217,0,0,200000-500000,24.99,0,350000.0,42.20542231491137,1
774511,Megadimension Neptunia VIIR | 新次元ゲイム ネプテューヌＶⅡＲ | 新次元遊戲 戰機少女ＶⅡＲ,2018-10-22,1,IDEA FACTORY;COMPILE HEART,"Idea Factory International, Inc.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;RPG,RPG;Anime;Action,33,316,113,0,0,20000-50000,30.99,0,35000.0,73.65967365967366,0
775900,MotoGP™18,2018-06-07,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Racing;Simulation;Sports,Racing;Simulation;Sports,50,202,108,0,0,0-20000,39.99,0,10000.0,65.16129032258064,0
783170,INSOMNIA: The Ark,2018-09-27,1,Mono Studio,HeroCraft,windows,0,Single-player;Steam Trading Cards,Action;RPG,RPG;Action;Post-apocalyptic,30,457,263,0,0,50000-100000,29.99,0,75000.0,63.47222222222222,0
787480,Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,2019-04-09,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure,Visual Novel;Story Rich;Great Soundtrack,30,373,11,0,0,20000-50000,29.99,0,35000.0,97.13541666666666,0
787860,Farming Simulator 19,2018-11-19,1,Giants Software,Focus Home Interactive,windows;mac,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Simulation,Simulation;Multiplayer;Agriculture,23,5738,1708,1164,1394,500000-1000000,29.99,0,750000.0,77.06150953532098,1
790820,Valkyria Chronicles 4,2018-09-25,1,SEGA,SEGA,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;RPG;Strategy,Strategy;RPG;Anime,36,1407,197,0,0,50000-100000,49.99,0,75000.0,87.71820448877806,0
792660,The Operational Art of War IV,2018-10-15,1,TrickeySoft LLC,Slitherine Ltd.,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Workshop,Simulation;Strategy,Strategy;Simulation;Wargame,0,68,16,0,0,0-20000,30.99,0,10000.0,80.95238095238095,1
794260,Outward,2019-03-26,1,Nine Dots Studio,Deep Silver,windows,0,Single-player;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,RPG,RPG;Open World;Survival,44,2647,978,1373,2315,100000-200000,34.99,0,150000.0,73.0206896551724,0
794580,SNK HEROINES Tag Team Frenzy,2019-02-21,1,SNK CORPORATION;Abstraction Games,SNK CORPORATION,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action,Action;Anime;Cute,44,88,31,0,0,0-20000,32.99,0,10000.0,73.94957983193278,1
798290,MXGP PRO,2018-06-29,1,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Racing;Simulation;Sports,Motocross;Simulation;Racing,50,159,73,0,0,0-20000,39.99,0,10000.0,68.53448275862068,0
798510,SUPER DRAGON BALL HEROES WORLD MISSION,2019-04-04,1,"Dimps Corporation;SAFARI GAMES Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Full controller support;Steam Cloud,Strategy,Strategy;Card Game;Anime,0,301,52,0,0,20000-50000,39.99,0,35000.0,85.26912181303116,0
801630,UNDER NIGHT IN-BIRTH Exe:Late[st],2018-08-20,1,FRENCH-BREAD,Arc System Works,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action,Action;2D Fighter;Fighting,44,524,33,168,202,20000-50000,30.99,0,35000.0,94.0754039497307,1
802890,Muv-Luv Alternative,2018-02-28,1,anchor Inc.,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Cloud,Sexual Content;Nudity;Violent;Gore;Adventure;Casual,Visual Novel;Violent;Anime,19,252,8,0,0,0-20000,30.99,0,10000.0,96.92307692307692,0
803600,Disgaea 5 Complete / 魔界戦記ディスガイア5,2018-10-22,1,"Nippon Ichi Software, Inc.","NIS America, Inc.",windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,RPG;Strategy,Strategy;RPG;Anime,51,801,182,414,414,20000-50000,29.99,0,35000.0,81.4852492370295,0
805550,Assetto Corsa Competizione,2018-09-12,1,Kunos Simulazioni,505 Games,windows,0,Single-player;Partial Controller Support,Racing;Simulation;Sports;Early Access,Early Access;Racing;Simulation,0,1744,278,0,0,50000-100000,34.99,0,75000.0,86.25123639960435,0
806950,Victory At Sea Pacific,2018-09-14,1,Evil Twin Artworks,Evil Twin Artworks,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Stats,Action;Indie;Simulation;Strategy,Strategy;Action;Indie,14,163,117,0,0,0-20000,29.99,0,10000.0,58.214285714285715,0
809890,Shining Resonance Refrain,2018-07-09,1,SEGA,SEGA,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;RPG,RPG;Adventure;Anime,47,255,78,0,0,0-20000,44.99,0,10000.0,76.57657657657657,0
812140,Assassin's Creed® Odyssey,2018-10-05,1,Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,Ubisoft,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,Action;Adventure;RPG,Open World;Action;RPG,82,20771,4528,3151,3581,1000000-2000000,49.99,0,1500000.0,82.10205936993557,0
814380,Sekiro™: Shadows Die Twice,2019-03-21,1,FromSoftware,Activision (Excluding Japan and Asia);FromSoftware (Japan);方块游戏 (Asia),windows,18,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Action;Souls-like;Difficult,34,21504,3019,2059,2212,2000000-5000000,49.9,0,3500000.0,87.68910818415365,0
816020,JUMP FORCE,2019-02-14,1,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,Action,Fighting;Anime;Action,50,1951,1530,338,369,50000-100000,49.99,0,75000.0,56.04711289859235,0
816090,Space Hulk: Deathwing - Enhanced Edition,2018-05-22,1,Streum On Studio,Focus Home Interactive,windows,0,Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Action;Adventure;FPS,23,1039,497,133,233,20000-50000,34.99,0,35000.0,67.64322916666666,0
817130,WWE 2K19,2018-10-08,1,"Visual Concepts;Yuke's Co., LTD",2K,windows,16,Single-player;Multi-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Simulation;Sports,Sports;Simulation;Wrestling,47,648,446,0,0,20000-50000,39.99,0,35000.0,59.23217550274224,1
818320,LEGO® The Incredibles,2018-06-15,1,TT Games;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),windows;mac,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action;Adventure,Action;Adventure;LEGO,51,143,33,0,0,0-20000,34.99,0,10000.0,81.25,0
